coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Jul 21 22:05:49 +0000 2020,,,https://thedcpatriot.com/%e2%80%8bcheck-mate-missouri-governor-prepared-to-pardon-st-louis-couple/,74,1285697513668911106,realDonaldTrump,1285540318503407600,25073877,und,,false,33,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@realDonaldTrump https://t.co/iBh3kyrgKW,https://twitter.com/RealMattCouch/status/1285697513668911106,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",321006,481696,111520,206,"NW Arkansas, USA",Matt Couch,RealMattCouch,319903,,http://www.TheDCPatriot.com,false
,Wed Jul 22 16:13:32 +0000 2020,,,,0,1285971250385498112,,,,en,,,1668,1285967659151106055,SecretsBedard,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SecretsBedard: Comeback: Trump neck-and-neck with Biden, 45%-47%, approval equal with Obama's, says @Rasmussen_Poll  https://t.co/6cZSX…",https://twitter.com/JasonMillerinDC/status/1285971250385498112,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Sat Jul 11 18:37:37 +0000 2020,,,,0,1282021242309091330,,,,en,,,1080,1281943643784437766,JennaEllisEsq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JennaEllisEsq: Ironically, Biden has tended to “take care” of his family by abusing his government position to enrich them.
https://t.c…",https://twitter.com/BorisEP/status/1282021242309091330,Wed Sep 23 03:12:59 +0000 2009,BorisEP,false,"@realdonaldtrump 2020 Strategic Advisor, former Special Assistant to POTUS, Comms Director - Trump Inaugural, Battle for 1600 Podcast - https://t.co/oceoPNhuUh",8268,97870,1742,796,"ÜT: 40.744258,-73.995578",Boris Epshteyn,BorisEP,15716,,https://www.breakfastwithboris.com,true
,Fri Jul 03 19:09:01 +0000 2020,,,https://thedcpatriot.com/is-hiden-joe-biden-back-on-the-campaign-trail/,29,1279130039565590528,,,,en,,false,13,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Is Hiden Joe Biden Back on the Campaign Trail? https://t.co/6jXFBSi7tR,https://twitter.com/RealMattCouch/status/1279130039565590528,Thu Jun 07 03:57:26 +0000 2012,RealMattCouch,false,"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",321006,481696,111520,206,"NW Arkansas, USA",Matt Couch,RealMattCouch,319903,,http://www.TheDCPatriot.com,false
,Tue Jul 07 21:53:22 +0000 2020,,,,0,1280620953425371139,,,,en,,,1415,1280617862407884800,JHoganGidley,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JHoganGidley: .@realdonaldtrump delivered a patriotic, uplifting, unifying speech at Mount Rushmore, but the Mainstream Media keeps lyi…",https://twitter.com/TrumpWarRoom/status/1280620953425371139,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",101,1224658,287,3552,MAGA Country,Trump War Room,TrumpWarRoom,26936,,https://www.donaldjtrump.com/,true
,Wed Jul 08 18:02:17 +0000 2020,,,https://gop.com/lawlessness-is-the-rule-in-joe-bidens-america,942,1280925185143713794,,,,en,,false,530,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","In the wake of rioting, looting, and tragic murders ripping apart communities across the country…
 
Joe Biden said “Yes, absolutely” he wants to defund the police. https://t.co/rTgDGoHr0V",https://twitter.com/GOP/status/1280925185143713794,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2719131,1649,11225,,GOP,GOP,44506,,https://goo.gl/xqho9k,true
,Mon Jul 20 19:51:36 +0000 2020,,https://twitter.com/TeamTrump/status/1285296742213324800/video/1,,0,1285301350604185600,,,,en,,false,498,1285300577484800001,jacobkschneider,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @jacobkschneider: This is Joe Biden's America.
https://t.co/I2kAMkT4JI",https://twitter.com/TrumpWarRoom/status/1285301350604185600,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",101,1224658,287,3552,MAGA Country,Trump War Room,TrumpWarRoom,26936,,https://www.donaldjtrump.com/,true
,Thu Jul 09 22:17:52 +0000 2020,AmericaFirst MAGA Dobbs,https://twitter.com/LouDobbs/status/1281351892623392770/video/1,,690,1281351892623392770,,,,en,,false,275,,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Pathway To A Second Term: @EdRollins says @POTUS has to focus on getting Americans back to work &amp; killing the China Virus to beat Joe Biden. #AmericaFirst #MAGA #Dobbs https://t.co/9ZI9G7DVBR,https://twitter.com/LouDobbs/status/1281351892623392770,Wed Mar 25 12:39:59 +0000 2009,LouDobbs,false,"Lou Dobbs Tonight, Fox Business Network, 5, 7 & 10 PM/ET",18158,2319474,2103,5972,"New York, NY",Lou Dobbs,LouDobbs,36392,,http://LouDobbsShop.com,true
,Wed Jul 22 20:15:28 +0000 2020,,,https://youtu.be/moZOrq0qL3Q,0,1286032131190292480,,,,en,,false,100,1285880380181098497,JasonMillerinDC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JasonMillerinDC: You won't be safe in Joe Biden's America. https://t.co/tnUNiqtinM,https://twitter.com/JasonMillerinDC/status/1286032131190292480,Sat Jan 12 23:03:43 +0000 2013,JasonMillerinDC,false,"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",11037,264999,3534,1847,"Washington, DC",Jason Miller,JasonMillerinDC,48249,,http://linkedin.com/in/jason-miller-543895195,true
,Thu Jul 09 18:14:44 +0000 2020,,,,2741,1281290709111316482,,,,en,,,1038,,,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Today, President @realDonaldTrump is signing an executive order launching the White House Hispanic Prosperity Initiative.
 
Since taking office, President Trump has honored the contributions of Hispanic Americans and worked to ensure they have the opportunity to prosper!",https://twitter.com/GOP/status/1281290709111316482,Thu Dec 13 17:15:41 +0000 2007,GOP,false,Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,264,2719131,1649,11225,,GOP,GOP,44506,,https://goo.gl/xqho9k,true
